,movie_id,title,runtime,certificate,imdb_rating,year,votes,summary,user_review,critic_review,language,country,budget,gross,opening_week,oscar_win,oscar_nom,other_win,other_nom,meta_score,Crime,Drama,Thriller,Comedy,War,Action,Adventure,Sci-Fi,Western,Biography,Horror,Fantasy,Romance,Mystery,Family,History,Music,Animation,Sport,Musical,Film-Noir,Documentary,News,Short
645,tt2395469,Gully Boy,153.0,Unrated,8.2,2019,27394,A coming-of-age story based on the lives of street rappers in Mumbai.,417,45,Hindi,India,10000000,5566534,2045068,0,0,49,40,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
646,tt8991268,Honeyland,89.0,Unrated,8.0,2019,10753,"The last female bee-hunter in Europe must save the bees and return the natural balance in Honeyland, when a family of nomadic beekeepers invade her land and threaten her livelihood.",78,91,Turkish,Republic of North Macedonia,10000000,815082,31381,0,2,34,45,86.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
647,tt0028010,My Man Godfrey,94.0,Unrated,8.0,1936,20139,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,411,106,English,USA,656000,6880917,0,0,6,1,0,51.87179487179487,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
648,tt0044079,Strangers on a Train,101.0,PG,8.0,1951,119647,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,316,121,English,USA,1200000,6880917,0,0,1,2,1,88.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
649,tt6628102,The Wild Pear Tree,188.0,Unrated,8.1,2018,17700,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",55,110,Turkish,"Turkey, Republic of North Macedonia, France, Germany, Bosnia and Herzegovina, Bulgaria, Sweden",10000000,34014,4923,0,0,10,13,86.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,tt0087385,Hardbodies,88.0,R,4.9,1984,3047,Three middle-aged daddies visit California to have a marvelous time at the beach. When they learn that a nice apartment and an expensive cabriolet isn't enough for them to score with the ...                See full summary »,36,30,English,USA,10000000,7121719,2684599,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,tt0374536,Bewitched,102.0,PG-13,4.8,2005,67503,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964).",520,172,English,USA,85000000,63313159,20131130,0,0,2,13,34.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
652,tt0383222,BloodRayne,95.0,R,2.9,2005,33659,"In the eighteenth century, a vampire escapes from the freak show, in which she once participated, and teams up with a group of vampire slayers to kill the man who raped her mother.",484,72,English,"Germany, USA",25000000,2405420,1550000,0,0,4,11,18.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
653,tt7295450,Between Worlds,90.0,R,4.3,2018,4217,"Joe meets a mother who can contact spirits when suffocating. Her daughter is dying when Joe helps the mother spiritually contact the daughter and save her. Unfortunately, the spirit in the daughter's body is now that of Joe's dead wife.",131,26,English,Spain,10000000,6880917,0,0,0,0,0,24.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
654,tt0085672,Hercules,98.0,PG,4.0,1983,3387,"The story of the Greek mythological figure, updated in this 80's version.",45,61,Italian,"Italy, USA",2500000,10676194,3473635,0,0,2,3,51.87179487179487,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
